country_name,country_code,income_tier,year,mortality_u5,nutrition_stunting,population,cbr_real,annual_births,cate_effect,cate_se,cate_ci_lower,cate_ci_upper,lives_saved_2.5pct,lives_saved_5.0pct,lives_saved_10.0pct
Central African Republic,CAF,Low income,2023,92.6,37.9,5152421.0,46.358,238855.93271799997,0.7650009529255501,0.41295123660290517,-0.04438347081614391,1.5743853766672444,456.8125403529777,913.6250807059554,1827.2501614119108
Ghana,GHA,Lower middle income,2023,37.2,17.4,33787914.0,26.31,888960.01734,0.20547862987475252,0.2493627283956773,-0.28327231778077494,0.69422957753028,456.6557159411486,913.3114318822973,1826.6228637645945
Guinea,GIN,Lower middle income,2023,95.0,26.1,14405468.0,33.848,487596.280864,0.36807415759222856,0.2092719038018254,-0.04209877385934929,0.7782470890438062,448.67897581030115,897.3579516206023,1794.7159032412046
Tajikistan,TJK,Lower middle income,2023,28.8,13.7,10389799.0,26.124,271423.109076,0.6396501713265162,0.14545711037403458,0.35455423499340843,0.924746107659624,434.0395955560977,868.0791911121954,1736.1583822243908
Zimbabwe,ZWE,Lower middle income,2023,64.2,23.5,16340822.0,30.41,496924.39702,0.34675288043844626,0.08751670461260468,0.17522013939774106,0.5182856214791514,430.77491506705763,861.5498301341153,1723.0996602682305
Togo,TGO,Lower middle income,2023,58.1,23.8,8223850.0,32.643,268451.13555,0.6370459109420618,0.14430706984747643,0.3542040540410076,0.9198877678431152,427.53924547470166,855.0784909494033,1710.1569818988066
Senegal,SEN,Lower middle income,2023,38.2,17.5,18077573.0,29.423,531896.4303789999,0.2798931148210906,0.17686262092376884,-0.06675762218949632,0.6265438518316775,372.1853716524941,744.3707433049882,1488.7414866099764
Honduras,HND,Lower middle income,2023,15.5,18.7,10644851.0,21.963,233792.862513,0.6311827668649047,0.2851383087190827,0.07231168177550318,1.1900538519543074,368.91506458555403,737.8301291711081,1475.6602583422161
Iraq,IRQ,Upper middle income,2023,22.5,12.6,45074049.0,25.728,1159665.132672,0.12331241010340209,0.20209953961772226,-0.2728026875473335,0.5194275077541377,357.50275605666457,715.0055121133291,1430.0110242266583
Oman,OMN,High income,2023,10.4,11.4,5049269.0,16.847,85065.034843,1.5438573803252225,0.2847110271520589,0.9858237671071867,2.1018909935432575,328.3207046249694,656.6414092499388,1313.2828184998775
Dominican Republic,DOM,Upper middle income,2023,31.5,6.7,11331265.0,17.931,203180.91271500004,0.6398756049144625,0.12305071437880405,0.39869620473200595,0.8810550050969178,325.02627357645815,650.0525471529163,1300.1050943058326
Portugal,PRT,High income,2023,3.2,3.2,10578174.0,8.1,85683.20939999999,1.4943439121534938,0.28515225000620364,0.935445502141335,2.0532423221656533,320.1004558516575,640.200911703315,1280.40182340663
Papua New Guinea,PNG,Lower middle income,2023,40.6,49.5,10389635.0,24.576,255335.66976000002,0.496487392677736,0.2677549316226286,-0.02831227330261632,1.0212870586580878,316.9273523419146,633.8547046838293,1267.7094093676585
"Gambia, The",GMB,Low income,2023,43.8,17.5,2697845.0,30.429,82092.725505,1.4193999733471434,0.27355766672175125,0.8832269465725124,1.9555730001217773,291.3060309844784,582.6120619689568,1165.2241239379136
Greece,GRC,High income,2023,3.9,1.5,10407351.0,6.8,70769.9868,1.5685811190694858,0.27708002908673235,1.02550426205949,2.111657976079481,277.5211627281918,555.0423254563837,1110.0846509127673
Bolivia,BOL,Lower middle income,2023,16.4,16.1,12244159.0,21.247,260151.646273,0.42411366285852653,0.17786918542776772,0.0754900594201019,0.7727372662969514,275.8346689987944,551.6693379975889,1103.3386759951777
Panama,PAN,High income,2023,15.1,15.9,4458759.0,16.029,71469.448011,1.4753835815325358,0.2166482839147645,1.0507529450595974,1.9000142180054742,263.6121254415564,527.2242508831127,1054.4485017662255
Guinea-Bissau,GNB,Low income,2023,69.7,28.1,2153339.0,30.037,64679.843542999995,1.5770988429903816,0.32807452255639985,0.9340727787798381,2.2201249072009253,255.01626604116052,510.03253208232104,1020.0650641646421
Ukraine,UKR,Upper middle income,2023,8.0,22.9,37732836.0,5.625,212247.20249999998,0.4536502440103915,0.17235144821844534,0.11584140550223865,0.7914590825185444,240.7149880116199,481.4299760232398,962.8599520464796
Guatemala,GTM,Upper middle income,2023,21.2,46.0,18124838.0,20.809,377159.75394200004,0.2471565171685187,0.28291681062197643,-0.3073604316505552,0.8016734659875924,233.04372800110056,466.0874560022011,932.1749120044022
Cuba,CUB,Upper middle income,2023,8.2,7.1,11019931.0,8.706,95939.519286,0.9631287251336926,0.1100408347010752,0.747448689119585,1.1788087611477998,231.00526724966127,462.01053449932255,924.0210689986451
Azerbaijan,AZE,Upper middle income,2023,18.7,6.6,10153958.0,11.1,112708.9338,0.8145939748338515,0.20265241533024198,0.4173952407865773,1.2117927088811258,229.5300459585686,459.0600919171372,918.1201838342744
Tunisia,TUN,Lower middle income,2023,12.9,8.4,12200431.0,13.748,167731.525388,0.520228500231656,0.3913522957016985,-0.2468219993436731,1.287278999806985,218.14679973541794,436.2935994708359,872.5871989416718
Kuwait,KWT,High income,2023,8.4,3.2,4853420.0,10.3028486127809,50004.05151424308,1.672671173941704,0.13228712700954662,1.4133884050029926,1.9319539428804153,209.10083887042603,418.20167774085206,836.4033554817041
Sri Lanka,LKA,Upper middle income,2023,6.1,10.3,22037000.0,11.2,246814.4,0.3386901375015149,0.3191425471360059,-0.2868292548850569,0.9642095298880864,208.98400768338473,417.96801536676946,835.9360307335389
Lesotho,LSO,Lower middle income,2023,61.3,34.6,2311472.0,24.109,55727.278448000005,1.463445848667481,0.3972245537304871,0.6848857233557265,2.2420059739792357,203.88463575565598,407.76927151131196,815.5385430226239
Jordan,JOR,Upper middle income,2023,13.3,8.2,11439213.0,20.611,235773.61914300002,0.31637430597384975,0.18492352513518068,-0.046075803291104334,0.6788244152388039,186.4817878082735,372.963575616547,745.927151233094
Cambodia,KHM,Lower middle income,2023,19.1,21.9,17423880.0,20.752,361580.35776,0.205356788273099,0.2105171364701759,-0.2072567992084458,0.6179703757546438,185.63245243057926,371.2649048611585,742.529809722317
Singapore,SGP,High income,2023,2.6,4.5,5917648.0,7.4,43790.5952,1.6877010844107911,0.13726347864633193,1.4186646662639806,1.9567375025576017,184.76358751508496,369.52717503016993,739.0543500603399
Bulgaria,BGR,High income,2023,5.9,7.0,6446596.0,8.9,57374.7044,1.2480694317545944,0.13745240464380945,0.9786627186527278,1.5174761448564609,179.01903679398956,358.0380735879791,716.0761471759582
Haiti,HTI,Lower middle income,2023,54.4,22.0,11637398.0,22.2,258350.2356,0.2759069849694468,0.18538076392512312,-0.08743931232379448,0.6392532822626881,178.20158642635562,356.40317285271124,712.8063457054225
Costa Rica,CRI,High income,2023,10.1,9.0,5105525.0,10.179,51969.138975,1.3420704678979016,0.20886297396166434,0.9326990389330394,1.7514418968627636,174.3656166510733,348.7312333021466,697.4624666042932
Mauritania,MRT,Lower middle income,2023,38.1,25.1,5022441.0,34.423,172887.486543,0.3900233837107086,0.22260837894869595,-0.04628903902873527,0.8263358064501528,168.57540625685115,337.1508125137023,674.3016250274046
Gabon,GAB,Upper middle income,2023,33.8,14.4,2484789.0,27.666,68744.17247399999,0.9682606727166633,0.39831983557366585,0.18755379499227764,1.7489675504410478,166.4056967125639,332.8113934251278,665.6227868502556
Turkmenistan,TKM,Upper middle income,2023,40.2,7.2,7364438.0,21.74,160102.88212,0.40992808952536713,0.22831773191162189,-0.03757466502141199,0.8574308440721459,164.07667148739168,328.15334297478336,656.3066859495667
Eritrea,ERI,Low income,2023,35.4,52.5,3470390.0,28.544,99058.81216,0.6609308398934474,0.24966468700944405,0.1715880533549371,1.1502736264319577,163.67755979939008,327.35511959878016,654.7102391975603
Belarus,BLR,Upper middle income,2023,2.4,1.2,9178298.0,7.136,65496.334528,0.9938072620639792,0.4108611188413002,0.1885194691350307,1.7990950549929274,162.72683223124537,325.45366446249074,650.9073289249815
Paraguay,PRY,Upper middle income,2023,16.9,5.6,6844146.0,19.985,136780.25780999998,0.4700002744737804,0.21357092588080648,0.05140125974739951,0.8885992892001608,160.7168967832361,321.4337935664722,642.8675871329444
