country_code,country_name,year,indicator_name,value,source,retrieved_date
SLV,El Salvador,2018,literacy_rate,89.0100021362305,UNESCO Institute for Statistics (via World Bank API),2026-09-02
SLV,El Salvador,2017,literacy_rate,88.4800033569336,UNESCO Institute for Statistics (via World Bank API),2026-09-02
SLV,El Salvador,2016,literacy_rate,88.1399993896484,UNESCO Institute for Statistics (via World Bank API),2026-09-02
SLV,El Salvador,2015,literacy_rate,87.9700012207031,UNESCO Institute for Statistics (via World Bank API),2026-09-02
SLV,El Salvador,2014,literacy_rate,87.4125334516516,UNESCO Institute for Statistics (via World Bank API),2026-09-02
SLV,El Salvador,2013,literacy_rate,86.7699966430664,UNESCO Institute for Statistics (via World Bank API),2026-09-02
SLV,El Salvador,2012,literacy_rate,85.4624559924635,UNESCO Institute for Statistics (via World Bank API),2026-09-02
SLV,El Salvador,2011,literacy_rate,85.4899978637695,UNESCO Institute for Statistics (via World Bank API),2026-09-02
SLV,El Salvador,2010,literacy_rate,84.4899978637695,UNESCO Institute for Statistics (via World Bank API),2026-09-02
SLV,El Salvador,2009,literacy_rate,84.0999984741211,UNESCO Institute for Statistics (via World Bank API),2026-09-02
SLV,El Salvador,2008,literacy_rate,83.9499969482422,UNESCO Institute for Statistics (via World Bank API),2026-09-02
SLV,El Salvador,2007,literacy_rate,82.0299987792969,UNESCO Institute for Statistics (via World Bank API),2026-09-02
SLV,El Salvador,2006,literacy_rate,83.5599975585938,UNESCO Institute for Statistics (via World Bank API),2026-09-02
GNQ,Equatorial Guinea,2000,literacy_rate,88.3099975585938,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ERI,Eritrea,2008,literacy_rate,64.6600036621094,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ERI,Eritrea,2002,literacy_rate,52.5099983215332,UNESCO Institute for Statistics (via World Bank API),2026-09-02
EST,Estonia,2011,literacy_rate,99.8899993896484,UNESCO Institute for Statistics (via World Bank API),2026-09-02
EST,Estonia,2000,literacy_rate,99.7699966430664,UNESCO Institute for Statistics (via World Bank API),2026-09-02
SWZ,Eswatini,2022,literacy_rate,90.75,UNESCO Institute for Statistics (via World Bank API),2026-09-02
SWZ,Eswatini,2000,literacy_rate,81.6600036621094,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ETH,Ethiopia,2022,literacy_rate,60.4599990844727,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ETH,Ethiopia,2021,literacy_rate,54.8853699463392,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ETH,Ethiopia,2019,literacy_rate,55.0499992370605,UNESCO Institute for Statistics (via World Bank API),2026-09-02
